comuni,CODISTAT_comune,popolazione,societa_di_regolamentazione_dei_rifiuti,tipo_ubicazione,altri_rifiuti_differenziati,ingombranti,cartone,frazione_organica_umida,legno,metallo,plastica,rifiuti_apparecchiature_elettriche_ed_elettroniche,raccolta_selettiva,tessili,vetro,costruzione_e_demolizione,pulizia_stradale,riciclo_annuale_tonnellate,rifiuti_totali_annuale_tonnellate,raccolta_comunale,extra_discarica_municipale
Mongiuffi Melia,083055,537,MESSINA AREA METROPOLITANA,INTERNO,13,7,15,41,0,0,0,0,0,0,15,0,0,70,161,161,0
Monreale,082049,38665,PALERMO PROVINCIA OVEST,INTERNO,2,327,1026,2719,0,0,663,89,2,39,752,0,0,2127,7745,7862,117
Montagnareale,083056,1419,MESSINA PROVINCIA,INTERNO,45,3,46,62,0,0,2,0,0,0,54,0,0,415,628,628,1
Montalbano Elicona,083057,2021,MESSINA PROVINCIA,INTERNO,70,4,54,196,0,1,0,3,0,8,79,0,0,206,622,624,2
Montallegro,084024,2394,AGRIGENTO PROVINCIA EST,COSTIERO,97,18,111,269,0,0,0,0,0,7,100,0,0,448,1052,1053,1
Montedoro,085011,1419,CALTANISSETTA PROVINCIA NORD,INTERNO,0,23,58,181,0,0,58,0,0,1,58,0,0,89,468,468,0
Montelepre,082050,5857,PALERMO AREA METROPOLITANA,INTERNO,5,58,211,677,86,0,222,40,2,6,206,0,27,263,1802,1825,24
Montemaggiore Belsito,082051,2990,PALERMO PROVINCIA EST,INTERNO,0,39,86,292,29,6,49,22,0,2,69,0,0,316,909,929,20
Monterosso Almo,088007,2821,RAGUSA PROVINCIA,INTERNO,6,21,173,477,81,1,65,7,0,3,79,0,0,188,1101,1103,2
Montevago,084025,2743,AGRIGENTO PROVINCIA OVEST,INTERNO,120,0,104,369,15,0,6,9,0,15,76,36,0,201,950,953,3
Motta Camastra,083058,811,MESSINA PROVINCIA,INTERNO,11,4,8,1,0,0,0,1,0,0,22,0,0,271,317,317,0
Motta Sant'Anastasia,087030,12054,CATANIA AREA METROPOLITANA,INTERNO,394,67,486,1488,111,0,38,9,1,6,253,411,125,1102,4490,4543,52
Motta d'Affermo,083059,672,MESSINA PROVINCIA,COSTIERO,16,5,19,70,0,0,2,0,0,2,16,0,0,35,166,167,0
Mussomeli,085012,10011,CALTANISSETTA PROVINCIA NORD,INTERNO,0,213,355,1655,30,0,217,24,1,0,323,7,0,1145,3971,3971,0
Naro,084026,7051,AGRIGENTO PROVINCIA EST,INTERNO,0,41,223,719,0,15,244,3,1,26,177,0,63,811,2325,2328,3
Naso,083060,3513,MESSINA PROVINCIA,COSTIERO,2,17,140,377,5,0,177,8,1,24,167,3,0,168,1089,1136,47
Nicolosi,087031,7596,CATANIA AREA METROPOLITANA,INTERNO,0,27,470,1648,167,27,352,17,0,15,356,272,102,1104,4558,4558,0
Nicosia,086012,12877,ENNA PROVINCIA,INTERNO,4,27,528,1204,27,9,329,55,1,8,382,0,0,1286,3860,3862,1
Niscemi,085013,25179,CALTANISSETTA PROVINCIA SUD,INTERNO,3,52,659,2278,299,36,488,170,1,30,628,0,71,5228,9943,10018,75
Nissoria,086013,2861,ENNA PROVINCIA,INTERNO,0,8,106,279,14,0,79,8,0,8,150,0,0,348,1000,1003,3
Nizza di Sicilia,083061,3543,MESSINA AREA METROPOLITANA,COSTIERO,104,43,149,453,0,0,0,0,1,0,112,0,0,450,1312,1312,0
Noto,089013,23905,SIRACUSA PROVINCIA,COSTIERO,3,317,874,2315,303,53,692,80,3,10,744,368,0,6907,12670,12686,17
Novara di Sicilia,083062,1186,MESSINA PROVINCIA,INTERNO,42,23,45,171,0,0,0,0,0,0,44,0,0,153,477,479,2
Oliveri,083063,2048,MESSINA PROVINCIA,COSTIERO,100,83,103,457,31,0,0,4,1,6,136,0,0,456,1378,1383,5
Pace del Mela,083064,6011,MESSINA AREA METROPOLITANA,COSTIERO,209,33,273,742,27,2,8,22,0,9,158,0,0,848,2332,2346,14
Paceco,081013,10896,TRAPANI PROVINCIA NORD,INTERNO,0,57,391,1610,41,2,348,49,5,89,357,9,56,554,3569,3585,16
Pachino,089014,21678,SIRACUSA PROVINCIA,COSTIERO,0,120,1001,2666,133,6,650,34,3,25,820,0,195,4108,9761,9764,3
Pagliara,083065,1135,MESSINA AREA METROPOLITANA,INTERNO,32,5,26,108,0,0,0,2,0,0,28,0,0,44,245,247,1
Palagonia,087032,15802,CATANIA PROVINCIA SUD,INTERNO,525,107,516,1892,9,0,10,3,3,29,380,0,127,1462,5064,5064,0
Palazzo Adriano,082052,1849,PALERMO PROVINCIA OVEST,INTERNO,1,4,53,179,2,6,49,5,0,0,52,0,0,193,545,545,0
Palazzolo Acreide,089015,8233,SIRACUSA PROVINCIA,INTERNO,4,53,362,813,99,0,283,48,1,23,287,0,0,1314,3286,3464,178
Palermo,082053,635439,PALERMO AREA METROPOLITANA,COSTIERO,4803,10195,15851,18042,349,68,209,1859,97,185,6246,657,0,301776,360336,360633,297
Palma di Montechiaro,084027,21509,AGRIGENTO PROVINCIA EST,COSTIERO,39,81,147,0,0,0,15,7,2,10,204,0,0,8601,9104,9104,0
Pantelleria,081014,7407,TRAPANI PROVINCIA NORD,ISOLE,9,59,552,1008,154,113,418,144,21,30,686,86,0,818,4099,4120,21
Partanna,081015,9932,TRAPANI PROVINCIA SUD,INTERNO,0,10,549,1269,104,54,366,137,2,76,336,33,0,686,3622,3627,5
Partinico,082054,30844,PALERMO AREA METROPOLITANA,INTERNO,4,111,1115,3966,280,81,1158,94,1,147,967,21,422,2641,11009,11018,9
Paternò,087033,45539,CATANIA AREA METROPOLITANA,INTERNO,1911,130,1773,4908,495,4,139,108,2,0,605,2392,344,5739,18550,18557,7
Patti,083066,12802,MESSINA PROVINCIA,COSTIERO,618,135,609,2059,57,0,0,1,0,0,400,0,0,1690,5569,5575,5
Pedara,087034,14915,CATANIA AREA METROPOLITANA,INTERNO,520,50,603,2657,97,0,16,14,1,4,423,67,171,1182,5803,5803,0
Petralia Soprana,082055,2992,PALERMO PROVINCIA EST,INTERNO,25,0,107,274,0,0,27,0,1,0,87,0,0,405,925,925,0
Petralia Sottana,082056,2492,PALERMO PROVINCIA EST,INTERNO,55,16,95,273,22,5,43,30,0,0,96,0,0,340,977,983,6
Petrosino,081024,7962,TRAPANI PROVINCIA SUD,COSTIERO,83,12,290,1610,26,9,301,51,1,19,298,0,0,592,3292,3304,12
Pettineo,083067,1235,MESSINA PROVINCIA,INTERNO,35,5,24,107,0,0,3,2,0,4,59,0,0,49,289,297,7
Piana degli Albanesi,082057,5703,PALERMO PROVINCIA OVEST,INTERNO,2,20,291,678,87,0,182,20,2,16,211,0,0,267,1777,1777,0
Piazza Armerina,086014,20733,CALTANISSETTA PROVINCIA SUD,INTERNO,0,122,741,2068,147,3,601,120,0,28,762,0,0,2652,7245,7262,17
Piedimonte Etneo,087035,3926,CATANIA PROVINCIA NORD,INTERNO,0,9,161,499,23,0,114,9,0,15,160,0,0,488,1479,1479,0
Pietraperzia,086015,6387,ENNA PROVINCIA,INTERNO,0,79,148,114,0,0,139,33,0,0,225,0,0,1479,2218,2221,3
Piraino,083068,3798,MESSINA PROVINCIA,COSTIERO,29,19,197,549,1,0,129,10,1,9,171,0,0,388,1503,1504,2
Poggioreale,081016,1353,TRAPANI PROVINCIA SUD,INTERNO,29,0,43,175,6,0,33,2,0,5,6,3,0,95,397,399,2
Polizzi Generosa,082058,2975,PALERMO PROVINCIA EST,INTERNO,48,19,91,336,0,0,28,6,1,0,75,0,0,536,1139,1145,6
Pollina,082059,2854,PALERMO PROVINCIA EST,COSTIERO,99,80,136,492,29,1,0,14,1,2,163,0,13,439,1469,1470,1
Porto Empedocle,084028,15661,AGRIGENTO PROVINCIA EST,COSTIERO,534,142,532,1819,28,0,49,9,0,0,491,0,111,2902,6618,6618,0
Portopalo di Capo Passero,089020,3798,SIRACUSA PROVINCIA,COSTIERO,1,48,191,722,0,0,202,7,2,0,220,0,0,556,1948,1975,26
